#Thu Aug 29 15:26:49 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               4              10
               1          -26.83           28.98
               2          -25.17           26.27
               3           9.997           24.92
               4          -166.4           13.81
               5          -96.98           8.343
               6          -39.87           8.888
               7            19.7           7.405
               8          -53.36           7.501
               9          -55.79           5.967
              10          -21.84           6.755
              11           57.05            7.26
              12          -68.49           9.102
              13          -36.91           5.742
              14           27.62           6.659
              15           78.57           7.398
              16          -5.761           12.15
              17          -39.57            6.11
              18          -18.71           12.81
              19           44.76           7.022
              20          -35.46           9.126
              21          -56.48           6.296
              22          -20.72            7.75
              23            61.4           6.414
              24          -48.55           7.449
              25          -48.78           5.943
              26           24.48           6.719
              27            93.3           6.765
              28           -57.2            6.69
              29          -24.83            7.18
              30           26.13           6.681
              31           82.88            7.28
              32          -15.56           11.82
              33          -69.13           6.753
              34         -0.4868           6.829
              35           38.41           7.026
              36           -72.1           9.149
              37          -77.87           6.417
              38          -17.26           6.902
              39           59.36           7.114
              40          -45.07           7.473
              41          -26.46           6.137
              42           15.53            7.47
              43           84.23           7.464
              44          -60.65           7.372
              45          -16.55            6.78
              46           41.15            6.56
              47           131.9           8.097
              48          -6.468           12.71
              49           -30.9           6.028
              50           6.342            10.3
              51           43.61           6.652
              52          -46.57           7.842
              53          -56.24           5.997
              54          -13.82           7.322
              55           60.19           6.312
              56          -66.36           6.998
              57          -30.83           6.158
              58           23.94           6.773
              59           80.92           6.856
              60          -62.09           6.211
              61           -39.4           7.758
              62           36.35             6.5
              63           102.5           7.663
              64          -22.82           11.52
              65           -54.6           8.106
              66         -0.3606           8.736
              67           42.29           7.122
              68           -38.8            8.82
              69          -31.28           6.421
              70         -0.7121           7.603
              71           66.91           6.991
              72          -53.14           7.489
              73          -32.75           9.262
              74           9.943           6.796
              75           95.91           7.503
              76           -59.3           9.689
              77          -42.11           5.813
              78           12.85           6.471
              79           125.4           7.998
              80          -20.74           10.95
              81          -44.24           6.377
              82          -13.89           9.102
              83           77.73           6.628
              84          -38.71           7.188
              85          -33.54           5.867
              86           24.91           7.157
              87           93.62           6.607
              88          -42.66           7.433
              89          -31.74           6.557
              90           2.843           6.451
              91           93.76           7.162
              92          -65.72           7.076
              93           -34.3           8.799
              94           29.31           6.564
              95           123.6           7.798
              96          -41.11           10.34
              97          -35.04           6.706
              98          -22.62           8.005
              99           53.31           7.763
             100          -65.31           8.232
             101          -50.51           6.005
             102          -8.938           7.241
             103           73.11           7.142
             104          -67.94           7.643
             105          -28.82           6.822
             106           32.31           6.892
             107           89.72           7.713
             108          -52.58           6.781
             109          -1.923           6.619
             110           43.96           6.824
             111           136.9           8.316
             112          -34.26           9.964
             113          -35.85           6.084
             114          -9.565           8.109
             115           51.55            6.55
             116          -57.63           6.763
             117          -43.19           5.612
             118           -11.5           6.681
             119           62.38           6.532
             120          -54.59           6.861
             121          -21.27           6.658
             122           33.22           6.437
             123           82.33           7.174
             124          -58.31           11.39
             125          -7.534           10.33
             126           37.44           6.785
             127             150            9.65
APV                2              13               5              11
               0           117.5           33.91
               1          -10.08           28.24
               2          -5.558           26.15
               3          -4.482           24.66
               4          -209.2           12.26
               5          -52.39           8.301
               6          -3.163           9.504
               7           2.067           7.546
               8          -62.36           7.739
               9          -20.89           6.024
              10           10.57           6.971
              11           44.02           7.187
              12          -59.92           9.251
              13          -22.43           5.596
              14           27.74            6.95
              15           70.67           8.719
              16          -44.35           10.99
              17          -48.55           6.233
              18           26.14           13.63
              19           45.41           7.151
              20          -78.37           8.609
              21           -38.6           6.387
              22          -6.841           8.301
              23           73.19           6.644
              24          -41.04           7.034
              25          -9.952           6.247
              26           22.02           7.045
              27           69.19           6.732
              28          -73.72           6.447
              29          -16.19            7.63
              30           9.212           7.021
              31           51.82           8.483
              32          -70.72           10.89
              33          -50.42            6.98
              34           16.45           7.237
              35           12.28           7.151
              36          -89.09           8.577
              37          -35.44           6.181
              38           34.51           7.413
              39           59.99           7.445
              40          -52.68           7.345
              41           -6.47           7.374
              42           29.45           7.571
              43              58            7.47
              44           -54.9           7.106
              45          -1.141           6.638
              46           45.07           6.717
              47           61.47           9.417
              48          -68.17           11.31
              49          -18.51           6.152
              50           19.38           11.11
              51           8.039           6.743
              52          -59.66           7.262
              53          -26.19           6.167
              54           9.516           7.951
              55           51.42           6.675
              56          -56.75           6.992
              57          -2.429           6.512
              58           18.45           6.968
